I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
nan,nan,nan,nan,nan,nan,-1.476030883789062500e+02,3.416440734863281250e+02,4.576284484863281250e+02,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.506298522949218750e+02,3.420557250976562500e+02,4.595867919921875000e+02,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.541287384033203125e+02,3.418940734863281250e+02,4.612329406738281250e+02,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.576276092529296875e+02,3.417324218750000000e+02,4.628790893554687500e+02,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.616296691894531250e+02,3.404566955566406250e+02,4.636599121093750000e+02,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.663218078613281250e+02,3.376529541015625000e+02,4.632539062500000000e+02,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.710139617919921875e+02,3.348492126464843750e+02,4.628478698730468750e+02,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.756240692138671875e+02,3.315859375000000000e+02,4.620469055175781250e+02,nan,-3.730765686035156250e+02,nan
nan,nan,nan,nan,nan,nan,-1.797990417480468750e+02,3.258850402832031250e+02,4.591509399414062500e+02,nan,-3.705321960449218750e+02,nan
nan,nan,nan,nan,nan,nan,-1.839740142822265625e+02,3.201841125488281250e+02,4.562549743652343750e+02,nan,-3.679877929687500000e+02,nan
nan,nan,nan,nan,nan,nan,-1.881489868164062500e+02,3.144832153320312500e+02,4.533590087890625000e+02,nan,-3.654434204101562500e+02,nan
nan,nan,nan,nan,nan,nan,-1.913077392578125000e+02,3.065619812011718750e+02,4.498962707519531250e+02,nan,-3.627952880859375000e+02,nan
nan,nan,nan,nan,nan,nan,-1.943479766845703125e+02,2.983818359375000000e+02,4.463674316406250000e+02,nan,-3.601350402832031250e+02,nan
nan,nan,nan,nan,nan,nan,-1.973882293701171875e+02,2.902017211914062500e+02,4.428385925292968750e+02,nan,-3.574748229980468750e+02,nan
nan,nan,nan,nan,nan,nan,-1.994199218750000000e+02,2.826031799316406250e+02,4.377217712402343750e+02,nan,-3.539675292968750000e+02,nan
nan,nan,nan,nan,nan,nan,-2.008656311035156250e+02,2.753426208496093750e+02,4.316822814941406250e+02,nan,-3.499681091308593750e+02,nan
nan,nan,nan,nan,nan,nan,-2.023113555908203125e+02,2.680820312500000000e+02,4.256427917480468750e+02,nan,-3.459686889648437500e+02,nan
nan,nan,nan,nan,nan,nan,-2.035372924804687500e+02,2.607315368652343750e+02,4.204793395996093750e+02,nan,-3.417404479980468750e+02,nan
nan,nan,nan,nan,nan,nan,-2.043881225585937500e+02,2.532276611328125000e+02,4.168110961914062500e+02,nan,-3.371216430664062500e+02,nan
nan,nan,nan,nan,nan,nan,-2.052389526367187500e+02,2.457237701416015625e+02,4.131428527832031250e+02,nan,-3.325028686523437500e+02,nan
nan,nan,nan,nan,nan,nan,-2.061751861572265625e+02,2.383917694091796875e+02,4.097099609375000000e+02,nan,-3.281298522949218750e+02,nan
nan,nan,nan,nan,nan,nan,-2.078287506103515625e+02,2.325033416748046875e+02,4.082537231445312500e+02,nan,-3.258210449218750000e+02,nan
nan,nan,nan,nan,nan,nan,-2.094823303222656250e+02,2.266149139404296875e+02,4.067974853515625000e+02,nan,-3.235122375488281250e+02,nan
nan,nan,nan,nan,nan,nan,-2.111358947753906250e+02,2.207264862060546875e+02,4.053412475585937500e+02,nan,-3.212034606933593750e+02,nan
nan,nan,nan,nan,nan,nan,-2.125553894042968750e+02,2.172906799316406250e+02,4.049648132324218750e+02,nan,-3.193568115234375000e+02,2.368875427246093750e+02
nan,nan,nan,nan,nan,nan,-2.139313812255859375e+02,2.143104858398437500e+02,4.047889404296875000e+02,nan,-3.175960388183593750e+02,2.395852661132812500e+02
nan,nan,nan,nan,nan,nan,-2.153073883056640625e+02,2.113302764892578125e+02,4.046130981445312500e+02,nan,-3.158352355957031250e+02,2.422829895019531250e+02
nan,nan,nan,nan,nan,nan,-2.172657928466796875e+02,2.082468872070312500e+02,4.041492309570312500e+02,nan,-3.157222290039062500e+02,2.461028747558593750e+02
nan,nan,nan,nan,nan,nan,-2.196454315185546875e+02,2.050888366699218750e+02,4.034770812988281250e+02,nan,-3.168010253906250000e+02,2.507343750000000000e+02
nan,nan,nan,nan,nan,nan,-2.220250854492187500e+02,2.019308013916015625e+02,4.028049011230468750e+02,nan,-3.178797912597656250e+02,2.553658752441406250e+02
nan,nan,nan,nan,nan,nan,-2.241942443847656250e+02,1.987021942138671875e+02,4.016100158691406250e+02,nan,-3.194175720214843750e+02,2.601919555664062500e+02
nan,nan,nan,nan,nan,nan,-2.259104156494140625e+02,1.953217163085937500e+02,3.992900085449218750e+02,nan,-3.219432373046875000e+02,2.654367980957031250e+02
nan,nan,nan,nan,nan,nan,-2.276265869140625000e+02,1.919412384033203125e+02,3.969700317382812500e+02,nan,-3.244688720703125000e+02,2.706816406250000000e+02
nan,nan,nan,nan,nan,nan,-2.292397613525390625e+02,1.886499023437500000e+02,3.947179260253906250e+02,nan,-3.270951232910156250e+02,2.758290710449218750e+02
nan,nan,nan,nan,nan,nan,-2.290546722412109375e+02,1.869148254394531250e+02,3.936512451171875000e+02,nan,-3.314774169921875000e+02,2.792759399414062500e+02
nan,nan,nan,nan,nan,nan,-2.288695831298828125e+02,1.851797485351562500e+02,3.925845336914062500e+02,nan,-3.358597106933593750e+02,2.827228088378906250e+02
nan,nan,nan,nan,nan,nan,-2.286844940185546875e+02,1.834446716308593750e+02,3.915178527832031250e+02,nan,-3.402419738769531250e+02,2.861696777343750000e+02
nan,nan,nan,nan,nan,nan,-2.269167327880859375e+02,1.816630706787109375e+02,3.895869445800781250e+02,nan,-3.475373229980468750e+02,2.882127685546875000e+02
nan,nan,nan,nan,nan,nan,-2.247311096191406250e+02,1.798691711425781250e+02,3.874278564453125000e+02,nan,-3.556017761230468750e+02,2.898852539062500000e+02
nan,nan,nan,nan,nan,nan,-2.225454711914062500e+02,1.780752716064453125e+02,3.852687988281250000e+02,nan,-3.636662292480468750e+02,2.915577087402343750e+02
nan,nan,nan,nan,nan,nan,-2.203276977539062500e+02,1.770932312011718750e+02,3.839570922851562500e+02,nan,-3.709545288085937500e+02,2.914970397949218750e+02
nan,nan,nan,nan,nan,nan,-2.180812072753906250e+02,1.768367767333984375e+02,3.834027099609375000e+02,nan,-3.775491333007812500e+02,2.898874816894531250e+02
nan,nan,nan,nan,nan,nan,-2.158347167968750000e+02,1.765803070068359375e+02,3.828483581542968750e+02,nan,-3.841437683105468750e+02,2.882779235839843750e+02
nan,nan,nan,nan,nan,nan,-2.137365875244140625e+02,1.764988555908203125e+02,3.825747375488281250e+02,nan,-3.896861877441406250e+02,2.860946350097656250e+02
nan,nan,nan,nan,nan,nan,-2.120499877929687500e+02,1.769027557373046875e+02,3.830798034667968750e+02,nan,-3.923104248046875000e+02,2.823202209472656250e+02
nan,nan,nan,nan,nan,nan,-2.103633728027343750e+02,1.773066711425781250e+02,3.835848693847656250e+02,nan,-3.949346313476562500e+02,2.785458374023437500e+02
nan,nan,nan,nan,nan,nan,-2.086828460693359375e+02,1.777105255126953125e+02,3.840915527343750000e+02,nan,-3.975577087402343750e+02,2.747680664062500000e+02
nan,nan,nan,nan,nan,nan,-2.101008148193359375e+02,1.780906829833984375e+02,3.854137878417968750e+02,nan,-3.995770568847656250e+02,2.692806701660156250e+02
nan,nan,nan,nan,nan,nan,-2.115187835693359375e+02,1.784708557128906250e+02,3.867360534667968750e+02,nan,-4.015964355468750000e+02,2.637932739257812500e+02
nan,nan,nan,nan,nan,nan,-2.129367675781250000e+02,1.788510131835937500e+02,3.880582885742187500e+02,nan,-4.036158142089843750e+02,2.583058776855468750e+02
nan,nan,nan,nan,nan,nan,-2.151093444824218750e+02,1.797095184326171875e+02,3.890288085937500000e+02,nan,-4.059808959960937500e+02,2.497772674560546875e+02
nan,nan,nan,nan,nan,nan,-2.175485534667968750e+02,1.807370300292968750e+02,3.898750305175781250e+02,nan,-4.084681091308593750e+02,2.401740264892578125e+02
nan,nan,nan,nan,nan,nan,-2.199877777099609375e+02,1.817645568847656250e+02,3.907212524414062500e+02,nan,-4.109553527832031250e+02,2.305707702636718750e+02
nan,nan,nan,nan,nan,nan,-2.211046752929687500e+02,1.825811767578125000e+02,3.910211791992187500e+02,nan,-4.137695617675781250e+02,2.216883850097656250e+02
nan,nan,nan,nan,nan,nan,-2.207650451660156250e+02,1.831654815673828125e+02,3.907193298339843750e+02,nan,-4.169439086914062500e+02,2.136000366210937500e+02
nan,nan,nan,nan,nan,nan,-2.204254150390625000e+02,1.837497863769531250e+02,3.904175109863281250e+02,nan,-4.201182861328125000e+02,2.055116882324218750e+02
nan,nan,nan,nan,nan,nan,-2.112961730957031250e+02,1.844817962646484375e+02,3.899682006835937500e+02,nan,-4.235157165527343750e+02,1.976817932128906250e+02
nan,nan,nan,nan,nan,nan,-1.696508178710937500e+02,1.857601928710937500e+02,3.889733276367187500e+02,nan,-4.277383117675781250e+02,1.908080291748046875e+02
nan,nan,nan,nan,nan,nan,-1.280054473876953125e+02,1.870385894775390625e+02,3.879784545898437500e+02,nan,-4.319609375000000000e+02,1.839342651367187500e+02
nan,nan,nan,nan,nan,nan,-8.636008453369140625e+01,1.883169860839843750e+02,3.869836120605468750e+02,nan,-4.361835632324218750e+02,1.770605010986328125e+02
nan,nan,nan,nan,nan,nan,-6.003032302856445312e+01,1.910867156982421875e+02,3.869842834472656250e+02,nan,-4.372350769042968750e+02,1.724240112304687500e+02
nan,nan,nan,nan,nan,nan,-3.451107406616210938e+01,1.939353637695312500e+02,3.870376892089843750e+02,nan,-4.381188049316406250e+02,1.679059143066406250e+02
nan,nan,nan,nan,nan,nan,-8.991827011108398438e+00,1.967839965820312500e+02,3.870910644531250000e+02,nan,-4.390025329589843750e+02,1.633878173828125000e+02
nan,nan,nan,nan,nan,nan,1.781138992309570312e+01,1.996991119384765625e+02,3.883764953613281250e+02,nan,-4.398291320800781250e+02,1.591658782958984375e+02
nan,nan,nan,nan,nan,nan,4.520045089721679688e+01,2.026445312500000000e+02,3.902240600585937500e+02,nan,-4.406296691894531250e+02,1.550790557861328125e+02
nan,nan,nan,nan,nan,nan,7.258950805664062500e+01,2.055899505615234375e+02,3.920716552734375000e+02,nan,-4.414302368164062500e+02,1.509922485351562500e+02
nan,nan,nan,nan,nan,nan,9.854316711425781250e+01,2.090960998535156250e+02,3.950708312988281250e+02,nan,-4.414056701660156250e+02,1.472412261962890625e+02
nan,nan,nan,nan,nan,nan,1.225438842773437500e+02,2.133651428222656250e+02,3.996368713378906250e+02,nan,-4.402585449218750000e+02,1.439470825195312500e+02
nan,nan,nan,nan,nan,nan,1.465446014404296875e+02,2.176341705322265625e+02,4.042029113769531250e+02,nan,-4.391113891601562500e+02,1.406529541015625000e+02
nan,nan,nan,nan,nan,nan,1.642646484375000000e+02,2.221588439941406250e+02,4.088668212890625000e+02,nan,-4.380068664550781250e+02,1.375065460205078125e+02
nan,nan,nan,nan,nan,nan,1.491515350341796875e+02,2.280199127197265625e+02,4.140422363281250000e+02,nan,-4.371249389648437500e+02,1.351324310302734375e+02
nan,nan,nan,nan,nan,nan,1.340384368896484375e+02,2.338809661865234375e+02,4.192176818847656250e+02,nan,-4.362430419921875000e+02,1.327583007812500000e+02
nan,nan,nan,nan,nan,nan,1.189253234863281250e+02,2.397420196533203125e+02,4.243930969238281250e+02,nan,-4.353611450195312500e+02,1.303841857910156250e+02
nan,nan,nan,nan,nan,nan,9.175217437744140625e+01,2.475548858642578125e+02,4.280221252441406250e+02,nan,-4.343652343750000000e+02,1.289687957763671875e+02
nan,nan,nan,nan,nan,nan,6.320198822021484375e+01,2.555906066894531250e+02,4.314745788574218750e+02,nan,-4.333562927246093750e+02,1.276628799438476562e+02
nan,nan,nan,nan,nan,nan,3.465179824829101562e+01,2.636263122558593750e+02,4.349270324707031250e+02,nan,-4.323473815917968750e+02,1.263569564819335938e+02
nan,nan,nan,nan,nan,nan,5.521208763122558594e+00,2.727195129394531250e+02,4.314677124023437500e+02,nan,-4.319309997558593750e+02,1.257519989013671875e+02
nan,nan,nan,nan,nan,nan,-2.394377136230468750e+01,2.824219665527343750e+02,4.240262756347656250e+02,nan,-4.318559875488281250e+02,1.255508804321289062e+02
nan,nan,nan,nan,nan,nan,-5.340875244140625000e+01,2.921244201660156250e+02,4.165848388671875000e+02,nan,-4.317810058593750000e+02,1.253497543334960938e+02
nan,nan,nan,nan,nan,nan,-8.208575439453125000e+01,2.901642456054687500e+02,4.055475158691406250e+02,nan,-4.318223571777343750e+02,1.252856750488281250e+02
nan,nan,nan,nan,nan,nan,-1.094291381835937500e+02,2.684656677246093750e+02,3.884243164062500000e+02,nan,-4.320606689453125000e+02,1.254535293579101562e+02
nan,nan,nan,nan,nan,nan,-1.367725219726562500e+02,2.467670898437500000e+02,3.713011474609375000e+02,nan,-4.322989807128906250e+02,1.256213760375976562e+02
nan,nan,nan,nan,nan,nan,-1.634010772705078125e+02,2.241503753662109375e+02,3.532015686035156250e+02,nan,-4.323535766601562500e+02,1.258899307250976562e+02
nan,nan,nan,nan,nan,nan,-1.841472015380859375e+02,1.939784545898437500e+02,3.270671691894531250e+02,nan,-4.308964538574218750e+02,1.269871749877929688e+02
nan,nan,nan,nan,nan,nan,-2.048933410644531250e+02,1.638065338134765625e+02,3.009327697753906250e+02,nan,-4.294393005371093750e+02,1.280844116210937500e+02
