I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-7.107919692993164062e+00,nan,-6.895982360839843750e+01,nan,nan,-1.660185241699218750e+02,nan,nan,nan,nan,nan,nan
-5.788396358489990234e+00,nan,-6.511822509765625000e+01,nan,nan,-1.611721191406250000e+02,nan,nan,nan,nan,nan,nan
-4.468872547149658203e+00,nan,-6.127662277221679688e+01,nan,nan,-1.563257141113281250e+02,nan,nan,nan,nan,nan,nan
-3.149348974227905273e+00,nan,-5.743502426147460938e+01,nan,nan,-1.514793090820312500e+02,nan,nan,nan,nan,nan,nan
-1.829825520515441895e+00,nan,-5.359342193603515625e+01,nan,nan,-1.466328887939453125e+02,nan,nan,nan,nan,nan,nan
-5.351555347442626953e-01,nan,-4.942883682250976562e+01,nan,nan,-1.410597229003906250e+02,nan,nan,nan,nan,nan,nan
6.297073364257812500e-01,nan,-4.357734298706054688e+01,nan,nan,-1.316907043457031250e+02,nan,nan,nan,nan,nan,nan
1.794570088386535645e+00,nan,-3.772584915161132812e+01,nan,nan,-1.223216857910156250e+02,nan,nan,nan,nan,nan,nan
2.959433078765869141e+00,nan,-3.187435340881347656e+01,nan,nan,-1.129526672363281250e+02,nan,nan,nan,nan,nan,nan
4.124295711517333984e+00,nan,-2.602285957336425781e+01,nan,nan,-1.035836486816406250e+02,nan,nan,nan,nan,nan,nan
5.438760757446289062e+00,nan,-1.926062011718750000e+01,nan,nan,-9.445354461669921875e+01,nan,nan,nan,nan,nan,nan
7.069102287292480469e+00,nan,-1.057539558410644531e+01,nan,nan,-8.582790374755859375e+01,nan,nan,nan,nan,nan,nan
8.699443817138671875e+00,nan,-1.890170812606811523e+00,nan,nan,-7.720226287841796875e+01,nan,nan,nan,nan,nan,nan
1.032978534698486328e+01,nan,6.795054435729980469e+00,nan,nan,-6.857661437988281250e+01,nan,nan,nan,nan,nan,nan
1.196012592315673828e+01,nan,1.548027896881103516e+01,nan,nan,-5.995097351074218750e+01,nan,nan,nan,nan,nan,nan
1.300200366973876953e+01,nan,2.357586479187011719e+01,nan,nan,-4.985640335083007812e+01,nan,nan,nan,nan,nan,nan
1.341169452667236328e+01,nan,3.103800201416015625e+01,nan,nan,-3.818376159667968750e+01,nan,nan,nan,nan,nan,nan
1.382138538360595703e+01,nan,3.850014114379882812e+01,nan,nan,-2.651111793518066406e+01,nan,nan,nan,nan,nan,nan
1.423107624053955078e+01,nan,4.596227645874023438e+01,nan,nan,-1.483847713470458984e+01,nan,nan,nan,nan,nan,nan
1.464076709747314453e+01,nan,5.342441558837890625e+01,nan,nan,-3.165835380554199219e+00,nan,nan,nan,nan,nan,nan
