I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
1.596721923828125000e+03,1.573319946289062500e+03,1.602646240234375000e+03,1.580269287109375000e+03,1.558722778320312500e+03,1.560352661132812500e+03,nan,nan,nan,nan,nan,nan
1.596061401367187500e+03,1.572375366210937500e+03,1.602931884765625000e+03,1.582215576171875000e+03,1.558722656250000000e+03,1.560360229492187500e+03,nan,nan,nan,nan,nan,nan
1.595400756835937500e+03,1.571430908203125000e+03,1.603217407226562500e+03,1.584161865234375000e+03,1.558722412109375000e+03,1.560367675781250000e+03,nan,nan,nan,nan,nan,nan
1.594740234375000000e+03,1.570486328125000000e+03,1.603503051757812500e+03,1.586108154296875000e+03,1.558722290039062500e+03,1.560375122070312500e+03,nan,nan,nan,nan,nan,nan
1.593578857421875000e+03,1.570629760742187500e+03,1.603729980468750000e+03,1.588013427734375000e+03,1.558719238281250000e+03,1.560381591796875000e+03,nan,nan,nan,nan,nan,nan
1.591983520507812500e+03,1.571716064453125000e+03,1.603906005859375000e+03,1.589883178710937500e+03,1.558713623046875000e+03,1.560386962890625000e+03,nan,nan,nan,nan,nan,nan
1.590388061523437500e+03,1.572802368164062500e+03,1.604082031250000000e+03,1.591752929687500000e+03,1.558708007812500000e+03,1.560392333984375000e+03,nan,nan,nan,nan,nan,nan
1.588895507812500000e+03,1.573822753906250000e+03,1.604240112304687500e+03,1.593516845703125000e+03,1.558702148437500000e+03,1.560397705078125000e+03,nan,nan,nan,nan,nan,nan
1.588739746093750000e+03,1.573984497070312500e+03,1.604163818359375000e+03,1.593903686523437500e+03,1.558693359375000000e+03,1.560402099609375000e+03,nan,nan,nan,nan,nan,nan
1.588583984375000000e+03,1.574146362304687500e+03,1.604087646484375000e+03,1.594290527343750000e+03,1.558684692382812500e+03,1.560406372070312500e+03,nan,nan,nan,nan,nan,nan
1.588428222656250000e+03,1.574308227539062500e+03,1.604011474609375000e+03,1.594677246093750000e+03,1.558675903320312500e+03,1.560410644531250000e+03,nan,nan,nan,nan,nan,nan
1.587247070312500000e+03,1.574372680664062500e+03,1.604117797851562500e+03,1.594765258789062500e+03,1.558666015625000000e+03,1.560413574218750000e+03,nan,nan,nan,nan,nan,nan
1.585402343750000000e+03,1.574374145507812500e+03,1.604342407226562500e+03,1.594659790039062500e+03,1.558655273437500000e+03,1.560415527343750000e+03,nan,nan,nan,nan,nan,nan
1.583557617187500000e+03,1.574375732421875000e+03,1.604566894531250000e+03,1.594554321289062500e+03,1.558644531250000000e+03,1.560417480468750000e+03,nan,nan,nan,nan,nan,nan
1.581585937500000000e+03,1.574552246093750000e+03,1.604859741210937500e+03,1.594455932617187500e+03,1.558633789062500000e+03,1.560419311523437500e+03,nan,nan,nan,nan,nan,nan
1.578852783203125000e+03,1.575779418945312500e+03,1.605562622070312500e+03,1.594399536132812500e+03,1.558622924804687500e+03,1.560419921875000000e+03,nan,nan,nan,nan,nan,nan
1.576119506835937500e+03,1.577006591796875000e+03,1.606265380859375000e+03,1.594343139648437500e+03,1.558612182617187500e+03,1.560420532226562500e+03,nan,nan,nan,nan,nan,nan
1.573386230468750000e+03,1.578233886718750000e+03,1.606968261718750000e+03,1.594286865234375000e+03,1.558601318359375000e+03,1.560421142578125000e+03,nan,nan,nan,nan,nan,nan
1.570348754882812500e+03,1.579270751953125000e+03,1.607133789062500000e+03,1.594349243164062500e+03,1.558591430664062500e+03,1.560420898437500000e+03,nan,nan,nan,nan,nan,nan
