I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-4.211826705932617188e+01,-3.101571655273437500e+01,-8.770056152343750000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.028338623046875000e+01,-3.298003768920898438e+01,-9.145024108886718750e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.844850921630859375e+01,-3.494435501098632812e+01,-9.519992828369140625e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.661362838745117188e+01,-3.690867614746093750e+01,-9.894960784912109375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.477874755859375000e+01,-3.887299728393554688e+01,-1.026992874145507812e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.294386672973632812e+01,-4.083731460571289062e+01,-1.064489669799804688e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.191518402099609375e+01,-4.244406890869140625e+01,-1.088208770751953125e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.129620742797851562e+01,-4.386910629272460938e+01,-1.104925994873046875e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.067723083496093750e+01,-4.529414367675781250e+01,-1.121643295288085938e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.005825424194335938e+01,-4.671918106079101562e+01,-1.138360519409179688e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.943927764892578125e+01,-4.814421844482421875e+01,-1.155077743530273438e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.017068099975585938e+01,-4.860509490966796875e+01,-1.174721908569335938e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.543962097167968750e+01,-4.582621383666992188e+01,-1.204201049804687500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.070856094360351562e+01,-4.304732894897460938e+01,-1.233680114746093750e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.597750091552734375e+01,-4.026844406127929688e+01,-1.263159179687500000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-5.124644088745117188e+01,-3.748955917358398438e+01,-1.292638244628906250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-5.651538085937500000e+01,-3.471067428588867188e+01,-1.322117309570312500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-6.039953994750976562e+01,-3.115805435180664062e+01,-1.330559234619140625e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-6.392804336547851562e+01,-2.740671730041503906e+01,-1.333598022460937500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-6.745655059814453125e+01,-2.365538024902343750e+01,-1.336636810302734375e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-7.098505401611328125e+01,-1.990404319763183594e+01,-1.339675598144531250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-7.451355743408203125e+01,-1.615270614624023438e+01,-1.342714385986328125e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-7.621933746337890625e+01,-1.581449890136718750e+01,-1.373430480957031250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-7.471208190917968750e+01,-2.149282836914062500e+01,-1.452934875488281250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
