I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
1.963256072998046875e+02,-1.882164192199707031e+01,-2.183148345947265625e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.916122131347656250e+02,-2.462332534790039062e+01,-2.154609527587890625e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.868988189697265625e+02,-3.042501068115234375e+01,-2.126070709228515625e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.821854400634765625e+02,-3.622669219970703125e+01,-2.097531738281250000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.770964660644531250e+02,-3.900323867797851562e+01,-2.019390716552734375e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.719193115234375000e+02,-4.106938934326171875e+01,-1.929601593017578125e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.667421417236328125e+02,-4.313554000854492188e+01,-1.839812469482421875e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.619608459472656250e+02,-4.462959671020507812e+01,-1.770966033935546875e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.574225158691406250e+02,-4.577249526977539062e+01,-1.714974365234375000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.528841705322265625e+02,-4.691539764404296875e+01,-1.658982696533203125e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.486622619628906250e+02,-4.685427856445312500e+01,-1.615440979003906250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.448606567382812500e+02,-4.519377136230468750e+01,-1.588437805175781250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.410590515136718750e+02,-4.353326034545898438e+01,-1.561434783935546875e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.377679901123046875e+02,-4.211090087890625000e+01,-1.540236968994140625e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.360998382568359375e+02,-4.144553375244140625e+01,-1.537492980957031250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.344316711425781250e+02,-4.078017044067382812e+01,-1.534748992919921875e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.327882843017578125e+02,-4.010791778564453125e+01,-1.532164916992187500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.316241302490234375e+02,-3.930244445800781250e+01,-1.532675781250000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.304599761962890625e+02,-3.849697113037109375e+01,-1.533186645507812500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
