I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
2.009636352539062500e+03,2.255258789062500000e+03,nan,nan,nan,nan,nan,nan,2.108238525390625000e+03,nan,2.298645751953125000e+03,nan
2.010856201171875000e+03,2.253412109375000000e+03,nan,nan,nan,nan,nan,nan,2.107993164062500000e+03,nan,2.298528320312500000e+03,nan
2.012076171875000000e+03,2.251565673828125000e+03,nan,nan,nan,nan,nan,nan,2.107747558593750000e+03,nan,2.298410644531250000e+03,nan
2.013025634765625000e+03,2.250133056640625000e+03,nan,nan,nan,nan,nan,nan,2.107580322265625000e+03,nan,2.298281250000000000e+03,nan
2.013971191406250000e+03,2.248706542968750000e+03,nan,nan,nan,nan,nan,nan,2.107414062500000000e+03,nan,2.298151611328125000e+03,nan
2.015598388671875000e+03,2.247821044921875000e+03,nan,nan,nan,nan,nan,nan,2.107351318359375000e+03,nan,2.297916015625000000e+03,nan
2.017245239257812500e+03,2.246951171875000000e+03,nan,nan,nan,nan,nan,nan,2.107291503906250000e+03,nan,2.297677246093750000e+03,nan
2.019010253906250000e+03,2.246192871093750000e+03,2.233777343750000000e+03,nan,nan,nan,nan,nan,2.107275146484375000e+03,nan,2.296385986328125000e+03,nan
2.020780517578125000e+03,2.245439453125000000e+03,2.233619628906250000e+03,nan,nan,nan,nan,nan,2.107260742187500000e+03,nan,2.295048339843750000e+03,nan
2.021571533203125000e+03,2.243753417968750000e+03,2.231659667968750000e+03,nan,nan,nan,nan,nan,2.107249023437500000e+03,nan,2.294260498046875000e+03,nan
2.022303833007812500e+03,2.242011718750000000e+03,2.229591796875000000e+03,nan,nan,nan,nan,nan,2.107237304687500000e+03,nan,2.293505859375000000e+03,nan
2.023793334960937500e+03,2.240551025390625000e+03,2.227435302734375000e+03,nan,nan,nan,nan,nan,2.107180175781250000e+03,nan,2.292843750000000000e+03,nan
2.025340209960937500e+03,2.239111572265625000e+03,2.225272216796875000e+03,nan,nan,nan,nan,nan,2.107119384765625000e+03,nan,2.292188720703125000e+03,nan
2.026992919921875000e+03,2.237416503906250000e+03,2.223011718750000000e+03,nan,nan,nan,nan,nan,2.107121093750000000e+03,nan,2.291081542968750000e+03,nan
2.028655395507812500e+03,2.235697753906250000e+03,2.220742431640625000e+03,nan,nan,nan,nan,nan,2.107128417968750000e+03,nan,2.289932128906250000e+03,nan
2.030089477539062500e+03,2.234887451171875000e+03,2.219905761718750000e+03,nan,nan,nan,nan,nan,2.107181152343750000e+03,nan,2.288809570312500000e+03,nan
2.031498657226562500e+03,2.234176513671875000e+03,2.219226074218750000e+03,nan,nan,nan,nan,nan,2.107238525390625000e+03,nan,2.287690185546875000e+03,nan
2.033790771484375000e+03,2.233831298828125000e+03,2.219108886718750000e+03,nan,nan,nan,nan,nan,2.107383544921875000e+03,nan,2.287065185546875000e+03,nan
2.036195312500000000e+03,2.233532470703125000e+03,2.219063476562500000e+03,nan,nan,nan,nan,nan,2.107539794921875000e+03,nan,2.286502929687500000e+03,nan
2.038701660156250000e+03,2.233821044921875000e+03,2.219586669921875000e+03,nan,nan,nan,nan,nan,2.107666015625000000e+03,nan,2.285734375000000000e+03,nan
2.041222900390625000e+03,2.234195068359375000e+03,2.220192382812500000e+03,nan,nan,nan,nan,nan,2.107788085937500000e+03,nan,2.284935546875000000e+03,nan
